Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
YX,PHL,DCA,1,1,0,0,3,1,0,-12.0,12.0,0.0
NK,SAN,SMF,0,1,0,1,1,1,0,141.0,146.0,0.0
OH,CLT,TYS,0,1,0,1,3,2,0,-15.0,19.0,0.0
OH,CLT,MEM,0,0,1,1,2,2,1,28.0,30.0,8.0
WN,BWI,MIA,0,1,1,1,2,2,0,41.0,21.0,
AS,SFO,HNL,1,1,1,1,1,0,0,0.0,-16.0,
OO,SEA,DEN,1,1,0,0,1,0,0,-8.0,-24.0,
AA,DFW,RIC,1,0,0,1,1,0,0,-4.0,-8.0,
YX,LGA,MYR,0,1,1,0,1,1,0,-5.0,42.0,0.0
WN,DCA,HOU,0,1,1,1,2,2,0,68.0,101.0,0.0
OO,FWA,MSP,1,0,0,1,1,1,0,57.0,35.0,0.0
OO,LGA,RDU,0,0,1,0,4,1,0,-10.0,-55.0,
OO,ASE,ATL,0,1,1,0,1,1,0,-1.0,13.0,
DL,MIA,JFK,0,0,1,1,2,0,0,1.0,-21.0,
NK,MIA,ORD,1,0,1,1,1,1,0,119.0,85.0,0.0
YX,ORD,FSD,0,0,0,1,1,0,0,-5.0,-14.0,
MQ,LAW,DFW,1,0,1,1,1,0,0,-4.0,-16.0,
MQ,DFW,MLU,0,0,1,0,15,10,4,688.0,633.0,152.0
WN,ATL,PHL,0,1,1,0,2,2,0,157.0,146.0,0.0
UA,FLL,IAH,1,1,0,0,1,0,0,-4.0,-21.0,
OO,IAH,PIB,1,0,0,0,8,2,0,-34.0,52.0,0.0
HA,PDX,OGG,0,1,1,0,5,4,1,917.0,943.0,129.0
DL,SEA,RDU,0,1,0,0,1,1,0,-10.0,2.0,
UA,IAH,SNA,0,0,1,1,3,2,0,36.0,40.0,0.0
9E,ATL,ECP,0,0,0,0,3,2,0,39.0,21.0,0.0
MQ,AUS,IAD,0,0,0,1,1,0,0,-5.0,-12.0,
WN,ATL,MSY,0,1,0,1,2,2,0,49.0,82.0,0.0
UA,DEN,CLE,0,0,1,1,1,1,0,111.0,106.0,0.0
OO,SWO,DFW,0,1,1,1,2,1,1,119.0,124.0,126.0
UA,EWR,EGE,0,0,0,0,6,3,0,137.0,17.0,0.0
G4,MEM,FLL,1,0,1,1,1,1,0,270.0,279.0,0.0
F9,SNA,DEN,0,0,1,0,2,0,0,31.0,-9.0,
G4,AZA,FAR,0,1,0,0,3,0,0,-17.0,-38.0,
AA,TYS,DFW,0,0,1,1,1,0,0,-12.0,-27.0,
UA,EUG,DEN,0,0,1,1,1,0,0,-6.0,-11.0,
NK,FLL,CLE,0,1,1,0,3,3,2,246.0,261.0,40.0
G4,SFB,FSD,0,0,1,0,3,0,0,-4.0,-52.0,
AA,PHL,CHS,0,1,0,0,5,1,0,81.0,65.0,0.0
OO,SLC,IDA,0,1,1,0,10,2,0,190.0,175.0,0.0
OO,ORD,DEC,1,1,0,0,3,0,0,-26.0,-46.0,
AS,SFO,DCA,0,0,0,1,7,4,0,9.0,3.0,0.0
YX,CMH,JFK,1,0,1,1,1,1,0,78.0,98.0,0.0
OO,SFO,SAN,1,0,0,1,2,0,0,-9.0,-23.0,
YX,PHL,CHS,1,1,1,0,2,1,0,-13.0,-1.0,0.0
AA,PIT,PHX,1,0,1,0,2,0,0,-6.0,-61.0,
G4,SRQ,SDF,0,1,0,0,1,0,0,-16.0,-21.0,
UA,FLL,EWR,0,1,1,0,2,2,0,32.0,30.0,0.0
MQ,DFW,CHA,0,1,0,0,6,3,1,207.0,206.0,19.0
UA,FLL,EWR,0,0,1,1,6,2,0,136.0,31.0,0.0
MQ,DFW,JAN,1,1,1,0,2,1,1,96.0,104.0,6.0
OO,MSP,FSD,1,1,1,0,3,2,1,-4.0,82.0,4.0
9E,DTW,MCI,1,1,1,0,1,0,0,0.0,0.0,
AA,ORD,EWR,1,0,1,1,2,2,0,47.0,79.0,0.0
UA,ORD,BOS,1,1,1,1,6,5,1,431.0,568.0,23.0
9E,LGA,GRR,1,0,1,1,1,1,0,31.0,115.0,0.0
AA,GSP,CLT,1,1,1,1,2,2,0,-3.0,36.0,0.0
AA,DTW,LGA,0,0,1,0,4,3,0,30.0,52.0,0.0
DL,JFK,SAT,0,0,0,1,3,0,0,-4.0,-29.0,
NK,CLT,EWR,0,1,1,1,1,1,0,17.0,36.0,0.0
AA,DFW,PSP,0,0,0,1,5,3,0,-20.0,5.0,
MQ,DCA,ORF,0,1,1,0,1,1,0,105.0,110.0,0.0
MQ,ORF,DCA,0,0,0,0,1,1,0,36.0,35.0,0.0
AS,SEA,SFO,1,1,1,0,8,7,0,175.0,194.0,0.0
NK,BOS,MYR,0,0,1,1,5,1,0,9.0,-2.0,0.0
F9,BWI,DEN,0,1,1,0,2,2,0,167.0,141.0,0.0
OO,RST,ORD,0,0,0,1,1,1,0,63.0,63.0,0.0
WN,TPA,MDW,1,0,1,0,4,4,0,330.0,328.0,0.0
AS,LAX,SEA,1,1,0,0,1,0,0,-9.0,-15.0,
G4,PIE,LIT,0,0,0,0,7,2,0,-48.0,-74.0,0.0
OO,DEN,WYS,1,0,0,0,1,0,0,-8.0,-30.0,
OO,DSM,IAH,1,0,1,0,3,2,0,-1.0,35.0,0.0
OO,SAN,FCA,0,0,0,1,1,1,0,-4.0,9.0,
WN,MYR,MCI,0,0,0,1,1,0,0,-1.0,-9.0,
9E,MSP,RST,0,1,0,0,2,2,0,56.0,140.0,0.0
AA,JAX,MIA,1,0,1,0,7,5,0,340.0,339.0,0.0
WN,MCO,DCA,0,1,0,1,3,2,0,122.0,137.0,0.0
G4,EWR,DSM,1,1,1,0,1,1,0,45.0,55.0,0.0
YX,ORD,LNK,0,0,1,0,2,1,0,6.0,2.0,0.0
YX,MSN,ORD,0,1,1,1,6,2,1,239.0,197.0,250.0
OO,DSM,DEN,0,0,1,1,2,1,0,1.0,-6.0,0.0
MQ,DFW,ICT,1,0,0,1,5,2,1,11.0,9.0,3.0
WN,BWI,BNA,1,1,0,1,2,2,0,102.0,94.0,0.0
NK,MEM,DFW,0,0,0,0,7,0,0,-42.0,-160.0,
UA,MSN,IAH,0,0,0,0,2,1,0,19.0,17.0,0.0
DL,MSN,ATL,1,1,0,0,5,1,0,181.0,108.0,0.0
OO,HLN,DEN,0,1,0,1,2,1,0,163.0,149.0,0.0
WN,HDN,DEN,0,1,1,1,2,2,0,81.0,59.0,0.0
UA,SJU,DEN,0,0,0,0,2,1,0,27.0,8.0,
UA,IAD,AUS,0,1,0,1,2,1,0,-4.0,12.0,0.0
UA,EWR,PWM,1,1,1,0,1,1,0,98.0,99.0,0.0
UA,SYR,IAD,0,1,0,0,1,1,0,22.0,4.0,
AS,LAX,SFO,0,0,0,1,3,3,0,77.0,84.0,0.0
B6,EWR,PBI,0,0,1,1,6,2,0,-4.0,-18.0,0.0
F9,LGA,RDU,0,0,1,1,3,2,0,82.0,92.0,0.0
OH,DCA,RSW,0,0,0,0,3,2,0,317.0,314.0,0.0
OO,SGF,ORD,1,0,0,1,2,1,0,52.0,34.0,0.0
OO,SBP,PDX,0,1,1,0,1,1,0,-9.0,11.0,
G4,SRQ,GRR,0,1,0,1,2,1,0,-12.0,-28.0,
NK,CLT,MSY,0,0,1,0,2,0,0,-10.0,-23.0,
G4,PIE,CHA,1,0,0,1,1,0,0,-6.0,-10.0,
F9,CLT,DFW,0,1,0,0,1,0,0,-1.0,-3.0,
9E,DTW,DCA,0,0,0,0,2,2,0,18.0,34.0,0.0
WN,BUR,SMF,0,1,1,0,5,1,0,-6.0,-26.0,
G4,PIE,AVL,1,1,0,0,2,0,0,-33.0,-48.0,
DL,SLC,LGA,0,0,0,0,3,2,0,69.0,59.0,0.0
WN,BWI,MSY,1,0,1,1,1,1,0,195.0,251.0,0.0
YX,ORD,TUL,0,0,1,0,2,0,0,-9.0,-36.0,
WN,PIT,FLL,1,1,1,0,1,1,0,23.0,47.0,0.0
OO,EUG,PHX,1,0,1,0,3,0,0,-23.0,-55.0,
G4,SFB,SWF,0,0,1,0,3,2,0,109.0,102.0,0.0
AS,IAD,SAN,0,0,1,0,15,6,0,25.0,-68.0,0.0
MQ,MIA,BWI,0,0,0,0,2,1,0,61.0,33.0,0.0
WN,SMF,MDW,0,1,1,0,3,1,0,3.0,-31.0,
WN,SJC,DEN,1,0,1,0,3,2,0,58.0,58.0,0.0
UA,IAH,EYW,0,1,1,0,5,2,0,-16.0,5.0,0.0
F9,PHX,SEA,0,0,0,1,1,0,0,-6.0,-7.0,
DL,IAH,LGA,1,0,1,1,1,0,0,-4.0,-17.0,
UA,ORD,BUF,0,0,0,1,5,2,0,44.0,8.0,0.0
AA,PHX,DFW,0,0,0,0,8,5,0,159.0,128.0,0.0
UA,ORF,DEN,1,0,0,0,3,0,0,-15.0,-34.0,
DL,DTW,IAD,0,0,0,0,3,0,0,-21.0,-27.0,
MQ,DFW,HSV,1,0,1,1,2,1,0,92.0,112.0,0.0
WN,BNA,ECP,0,1,0,0,4,4,0,35.0,43.0,0.0
NK,BOS,SJU,1,0,0,0,2,0,0,-16.0,-45.0,
AA,JFK,LAX,0,1,0,1,2,0,0,-15.0,-40.0,
G4,LAS,MRY,0,0,0,1,2,2,0,263.0,269.0,0.0
F9,LAS,ONT,0,0,1,0,4,1,0,61.0,50.0,0.0
OO,SFO,BUR,1,1,0,1,2,2,1,189.0,196.0,62.0
OO,SEA,HLN,0,0,0,1,2,0,0,-10.0,-7.0,
OO,DEN,RKS,0,0,1,0,5,5,1,174.0,250.0,22.0
G4,RIC,SFB,0,0,1,0,3,0,0,-48.0,-51.0,
UA,DEN,CMH,0,0,0,1,1,1,0,0.0,30.0,0.0
AS,SAN,TPA,0,0,1,0,2,1,0,-11.0,-25.0,
UA,EWR,IAD,0,1,0,0,3,2,0,266.0,226.0,0.0
WN,OAK,PDX,1,1,0,0,1,0,0,1.0,-14.0,
9E,BNA,JFK,0,0,0,1,1,0,0,-15.0,-14.0,
UA,SBA,SFO,0,1,1,0,2,1,0,145.0,138.0,0.0
UA,EWR,HDN,0,1,0,1,1,0,0,-11.0,-31.0,
OO,DFW,TXK,0,0,0,1,9,4,1,198.0,150.0,33.0
B6,BWI,BOS,1,0,1,0,2,1,0,61.0,42.0,0.0
AS,SAN,BOS,0,1,1,1,1,1,0,25.0,12.0,
AA,LEX,DFW,0,1,0,1,2,2,0,37.0,83.0,0.0
F9,CVG,MIA,0,0,0,1,2,0,0,1.0,-23.0,
AA,DFW,DSM,0,1,0,1,3,2,0,154.0,167.0,0.0
G4,BMI,PIE,1,0,1,0,5,3,0,-10.0,-8.0,
G4,PIE,XNA,0,0,0,1,3,1,1,4.0,-14.0,22.0
OO,HPN,ATL,0,1,1,0,1,1,0,15.0,2.0,
WN,MSP,LAS,1,0,1,0,7,6,0,262.0,292.0,0.0
OO,SLC,RDM,1,1,1,0,2,0,0,-8.0,-24.0,
DL,LAX,JFK,1,1,0,0,4,2,0,144.0,97.0,0.0
G4,CVG,LAX,0,1,0,0,1,0,0,2.0,-13.0,
OO,RIC,DTW,0,1,0,1,2,1,0,126.0,96.0,0.0
WN,MDW,JAX,1,0,0,0,1,0,0,0.0,-6.0,
G4,BOI,SNA,0,1,1,0,1,1,1,16.0,22.0,14.0
OO,LAX,PSP,1,0,0,0,1,1,0,134.0,131.0,0.0
DL,LGA,SRQ,1,0,1,0,1,0,0,-5.0,-10.0,
AS,OKC,SEA,1,1,0,0,3,1,0,11.0,9.0,0.0
AS,ORD,ANC,0,0,1,1,3,3,1,131.0,154.0,102.0
OO,AMA,DEN,0,1,1,0,1,0,0,-8.0,-15.0,
YX,PWM,EWR,0,1,0,1,4,2,0,-22.0,-9.0,0.0
NK,DTW,MSY,0,1,0,0,1,0,0,-9.0,-9.0,
9E,LGA,RIC,1,0,0,0,2,0,0,-10.0,-33.0,
F9,LGA,RDU,0,0,1,0,8,1,0,-3.0,-62.0,
OO,DTW,GSP,1,0,1,0,3,0,0,-9.0,-38.0,
G4,CID,FLL,1,0,1,0,1,1,0,29.0,20.0,0.0
DL,ATL,ANC,1,0,0,0,1,1,1,201.0,223.0,136.0
OO,MSP,BJI,1,0,0,0,1,1,0,-5.0,1.0,
F9,PHL,MKE,1,0,1,0,1,0,0,-10.0,-13.0,
AS,DEN,SEA,1,1,1,0,1,0,0,4.0,-6.0,
G4,GRI,LAS,1,1,0,0,1,0,0,-11.0,-8.0,
AS,ANC,BET,1,1,1,1,2,2,0,-1.0,3.0,
G4,FWA,MYR,0,0,0,0,4,1,0,-20.0,-15.0,
AA,DFW,SRQ,1,0,0,1,1,0,0,-4.0,-15.0,
WN,OGG,LIH,0,1,1,0,2,0,0,-13.0,-21.0,
WN,STL,FLL,0,0,0,1,4,1,0,-6.0,-27.0,
9E,RIC,MSP,0,1,0,1,2,0,0,-17.0,-28.0,
OO,ALB,DTW,0,1,1,0,5,0,0,-6.0,-72.0,
OO,SAF,DEN,0,1,0,0,6,2,0,231.0,149.0,0.0
AA,DFW,OGG,0,0,0,1,2,1,0,-9.0,-8.0,
AA,MYR,ORD,0,0,1,0,1,0,0,-4.0,-26.0,
NK,SAT,DFW,0,0,1,0,3,2,0,117.0,152.0,0.0
OO,DTW,HSV,0,1,0,1,1,0,0,-4.0,-8.0,
B6,FLL,JFK,1,1,0,0,1,1,0,11.0,5.0,
B6,FLL,BQN,1,0,1,0,2,1,0,125.0,108.0,0.0
DL,CLT,ATL,1,0,0,0,2,0,0,-4.0,-28.0,
9E,TUL,LGA,0,1,0,1,1,1,0,37.0,27.0,0.0
WN,STL,SAT,1,1,1,1,1,1,0,4.0,7.0,
WN,SAT,MDW,0,1,1,1,2,1,0,5.0,1.0,
DL,BOS,SJU,0,1,0,1,1,0,0,-3.0,-40.0,
DL,MSP,DEN,0,1,0,1,2,2,0,-4.0,13.0,
G4,SFB,RAP,0,1,0,0,4,0,0,-21.0,-63.0,
NK,CHS,EWR,0,1,1,0,2,1,0,51.0,30.0,0.0
YX,ORD,BNA,1,0,0,0,5,1,1,136.0,114.0,135.0
WN,BNA,MSY,1,0,1,0,5,1,1,27.0,-20.0,7.0
MQ,DCA,IND,1,0,1,0,1,0,0,-5.0,-6.0,
WN,ORD,BNA,0,1,0,1,1,1,0,80.0,74.0,0.0
UA,SFO,SAT,0,0,1,0,1,0,0,-4.0,-12.0,
AS,PDX,OGG,1,0,1,0,3,1,0,-10.0,-30.0,
YX,VPS,DCA,0,0,1,1,1,0,0,-1.0,-22.0,
G4,GRR,PBI,1,1,1,1,1,1,0,137.0,121.0,0.0
G4,CVG,PGD,0,1,1,1,1,0,0,-3.0,-2.0,
WN,DAL,RSW,0,0,0,1,1,1,0,92.0,87.0,0.0
F9,PHL,DEN,1,0,1,0,3,2,0,236.0,183.0,0.0
OO,ASE,DEN,1,0,0,0,1,0,0,6.0,-7.0,
B6,BOS,PIT,1,1,0,0,4,2,0,83.0,51.0,0.0
WN,HOU,SRQ,1,0,1,0,2,1,0,0.0,6.0,
F9,TPA,CVG,1,0,1,0,2,1,0,116.0,83.0,0.0
WN,BNA,MCO,0,0,1,1,3,2,0,27.0,39.0,0.0
B6,BOS,EYW,1,0,1,1,2,1,0,-13.0,92.0,0.0
OO,IND,ORD,0,1,1,1,2,1,0,127.0,166.0,0.0
YX,IAD,ATL,1,1,0,0,1,0,0,6.0,0.0,
WN,RSW,BWI,1,1,1,0,2,1,0,31.0,-5.0,
WN,ATL,BNA,1,0,1,0,1,1,0,4.0,5.0,
WN,SAN,SFO,1,0,1,1,2,2,0,60.0,73.0,0.0
WN,ABQ,LAX,0,0,0,0,8,4,0,114.0,35.0,0.0
WN,HOU,LGA,0,0,1,1,6,2,0,18.0,3.0,0.0
B6,BUF,FLL,1,0,1,0,6,0,0,-21.0,-124.0,
9E,LGA,ORH,0,0,1,1,2,1,0,-13.0,25.0,0.0
WN,SJC,RNO,0,0,1,1,3,1,0,14.0,-13.0,
MQ,DFW,LAW,1,1,0,0,1,1,0,9.0,9.0,
HA,HNL,SJC,0,1,0,1,1,0,0,34.0,-17.0,
F9,DEN,IAH,0,0,1,1,2,1,0,139.0,113.0,0.0
G4,SFB,BNA,1,0,0,0,2,1,0,10.0,-2.0,0.0
YX,DCA,TUL,1,0,1,0,2,1,0,27.0,10.0,0.0
OO,DEN,LBL,0,0,0,0,3,1,0,57.0,23.0,0.0
OO,BIH,DEN,0,1,0,0,1,0,0,-1.0,-27.0,
B6,SJU,BOS,0,1,0,1,2,0,0,-13.0,-15.0,
WN,DEN,FAT,1,0,1,0,5,4,1,117.0,95.0,25.0
NK,MCO,LGA,0,0,1,1,1,1,0,95.0,98.0,0.0
YX,PHL,SYR,1,0,1,1,1,0,0,-8.0,-19.0,
B6,LGA,TPA,1,1,1,0,1,1,0,4.0,20.0,0.0
UA,BNA,ORD,0,0,1,1,6,2,0,211.0,194.0,0.0
OH,PHL,CLE,1,1,1,0,2,0,0,10.0,-2.0,
AA,PWM,CLT,1,1,1,0,5,0,0,-10.0,-71.0,
OO,MTJ,IAH,0,1,1,0,1,1,1,2.0,24.0,2.0
G4,PGD,PBG,0,0,0,1,2,1,0,-13.0,-18.0,
NK,TPA,BOS,1,1,0,0,1,0,0,-8.0,-22.0,
UA,RIC,ORD,0,0,0,1,7,2,0,-12.0,-18.0,0.0
UA,ORD,HNL,1,1,0,0,2,0,0,-9.0,-21.0,
G4,GRR,SAV,0,1,1,0,1,0,0,2.0,-6.0,
YX,SDF,DCA,0,1,1,0,2,0,0,-8.0,-29.0,
AA,SMF,ORD,0,1,0,0,7,3,0,-2.0,48.0,0.0
DL,DTW,RDU,0,1,1,1,1,1,0,12.0,19.0,0.0
B6,ORH,MCO,1,0,1,0,5,0,0,-12.0,-87.0,
F9,IAH,RDU,0,1,0,0,2,1,0,-9.0,-17.0,
UA,SEA,DEN,1,0,0,1,1,0,0,-4.0,-9.0,
DL,DTW,MIA,1,1,1,0,4,3,0,13.0,76.0,0.0
DL,DFW,DTW,0,1,1,1,1,1,0,23.0,43.0,0.0
WN,AUS,STL,0,1,1,0,4,2,0,89.0,42.0,0.0
NK,OAK,EWR,0,0,1,0,1,0,0,-1.0,-16.0,
F9,ONT,PDX,0,0,1,1,2,2,0,23.0,39.0,0.0
AA,STL,LGA,0,1,0,1,3,1,0,-35.0,-16.0,0.0
9E,OMA,LGA,0,0,1,0,4,1,1,758.0,694.0,609.0
B6,ACK,LGA,1,0,1,1,1,1,0,-10.0,14.0,
YX,BUF,DCA,0,1,0,0,2,0,0,-9.0,-23.0,
OH,PIT,DCA,1,0,1,0,1,0,0,-8.0,-39.0,
WN,HOU,CRP,0,1,1,1,1,0,0,-7.0,-12.0,
DL,ATL,FSD,0,1,1,1,2,1,0,55.0,99.0,0.0
F9,PHL,FLL,1,0,0,1,1,1,1,87.0,99.0,87.0
MQ,ABI,DFW,1,0,1,0,2,0,0,-14.0,-30.0,
MQ,AUS,LAS,0,0,1,0,1,1,0,-3.0,5.0,
DL,MSP,ORF,0,0,0,0,1,0,0,0.0,-2.0,
AA,MIA,MEM,1,0,1,0,1,1,1,36.0,20.0,20.0
G4,ABE,PGD,0,1,1,0,3,1,0,26.0,47.0,0.0
AS,ADQ,ANC,1,0,0,1,1,0,0,-13.0,-11.0,
NK,MCO,PNS,1,0,1,0,2,0,0,16.0,-14.0,
OO,MAF,IAH,1,1,1,0,1,1,0,186.0,174.0,0.0
MQ,CLT,ILM,0,0,0,0,10,3,0,-30.0,-34.0,0.0
G4,FLL,TYS,0,0,1,1,2,0,0,-7.0,-21.0,
DL,MCO,ATL,1,1,0,1,1,1,0,30.0,34.0,0.0
YX,LEX,ORD,1,0,1,0,3,0,0,-5.0,-51.0,
OH,PHL,MYR,0,0,0,1,1,1,0,39.0,36.0,0.0
B6,FLL,HPN,1,1,1,0,1,1,0,113.0,105.0,0.0
UA,XNA,DEN,0,0,0,1,1,0,0,-7.0,-28.0,
YX,DAY,LGA,0,1,0,0,2,0,0,-18.0,-46.0,
UA,MEM,DEN,0,0,0,1,5,2,0,161.0,155.0,0.0
AA,DFW,IAD,1,1,1,0,1,1,0,52.0,34.0,0.0
WN,HOU,TUL,1,1,1,0,2,2,0,98.0,93.0,0.0
YX,ORD,LEX,1,1,0,0,1,1,0,-3.0,17.0,0.0
F9,BUF,RDU,0,0,1,1,1,0,0,-18.0,-14.0,
OH,MEM,DCA,0,1,0,0,3,1,0,-11.0,-23.0,0.0
F9,ONT,DEN,0,1,0,1,1,1,0,81.0,61.0,0.0
AA,PHL,CMH,0,0,1,1,1,1,0,103.0,100.0,0.0
OO,SAN,SJC,0,1,0,1,3,2,0,20.0,22.0,0.0
AS,SEA,MCO,1,1,0,0,2,1,0,135.0,127.0,0.0
DL,MCO,DTW,1,1,1,1,1,1,0,1.0,14.0,
DL,BNA,LGA,0,0,1,1,1,0,0,-8.0,-31.0,
G4,TYS,SFB,0,1,0,1,1,0,0,-6.0,-7.0,
G4,CID,SFB,1,1,0,1,1,0,0,-3.0,-14.0,
B6,PBI,JFK,1,0,1,1,2,2,0,284.0,324.0,0.0
WN,DAL,PNS,0,0,1,1,1,1,0,30.0,60.0,0.0
B6,BOS,BNA,0,1,0,1,2,0,0,-15.0,-27.0,
YX,CMH,IAD,0,1,1,0,2,0,0,-15.0,-12.0,
OO,CPR,DEN,1,1,0,0,1,0,0,-10.0,-10.0,
AA,TPA,ORD,1,0,0,1,1,1,0,15.0,1.0,
B6,BOS,BUF,1,0,1,1,4,3,1,99.0,117.0,15.0
G4,EYW,PIE,0,1,1,0,1,1,0,10.0,7.0,
G4,CID,LAS,1,1,0,0,1,0,0,-9.0,-28.0,
DL,CLT,DTW,1,0,1,1,2,1,0,43.0,12.0,0.0
OO,DTW,GSP,1,0,1,1,1,1,0,-4.0,31.0,0.0
OO,SAT,LAX,0,1,0,0,2,1,0,-21.0,-12.0,
OO,SFO,SMF,1,1,1,0,2,1,1,56.0,48.0,66.0
OO,MRY,LAX,0,1,1,0,3,0,0,-32.0,-42.0,
OO,IAH,LAX,1,0,1,0,1,0,0,-2.0,-23.0,
NK,LAS,PDX,0,1,0,0,4,2,0,101.0,53.0,0.0
WN,OMA,LAS,0,0,0,1,6,2,0,170.0,105.0,0.0
MQ,OKC,ORD,0,0,1,1,3,3,0,228.0,191.0,0.0
OH,CLT,CAK,0,0,0,1,8,3,0,-18.0,-63.0,
OO,SDF,LGA,0,0,0,0,2,2,0,1035.0,1006.0,0.0
NK,MSP,DTW,0,0,0,1,9,1,0,-52.0,-95.0,
AA,DFW,TYS,1,0,0,1,3,2,0,79.0,73.0,0.0
NK,FLL,BDL,0,0,0,1,1,0,0,27.0,-5.0,
B6,JFK,BUF,0,1,1,1,3,1,0,-9.0,-2.0,0.0
9E,STL,LGA,1,1,0,1,2,0,0,-14.0,-3.0,
WN,IAH,DAL,0,1,1,0,2,1,0,35.0,64.0,0.0
OO,GCK,DFW,1,1,1,0,1,1,0,-7.0,4.0,
WN,MCI,MSP,0,1,0,0,3,0,0,13.0,-32.0,
WN,DEN,ORD,0,0,0,1,2,1,0,-4.0,-7.0,
YX,AVL,EWR,0,1,0,0,3,1,0,43.0,26.0,0.0
YX,DCA,HHH,0,0,1,0,9,2,0,-7.0,-120.0,
DL,ONT,ATL,0,1,1,0,1,0,0,19.0,-1.0,
YX,DCA,STL,1,1,0,0,1,1,0,-10.0,11.0,
WN,OAK,BWI,1,0,1,1,1,1,0,9.0,5.0,
9E,JAX,LGA,0,0,1,1,3,0,0,19.0,-13.0,
OO,BUR,SFO,0,1,0,1,4,4,0,109.0,121.0,0.0
NK,FLL,IAH,0,1,0,1,3,3,0,120.0,211.0,0.0
9E,JFK,MKE,1,1,1,0,2,0,0,-13.0,-65.0,
UA,IAD,BDL,0,0,0,1,8,4,0,48.0,4.0,0.0
YX,IND,ORD,1,0,0,0,7,0,0,-37.0,-107.0,
UA,DEN,MTJ,0,1,0,0,2,2,0,67.0,80.0,0.0
DL,LAS,MSP,0,1,0,0,2,0,0,-1.0,-18.0,
NK,ATL,DTW,1,1,1,0,2,2,0,83.0,62.0,0.0
9E,ATL,TYS,1,0,1,1,1,1,0,24.0,27.0,0.0
OO,RAP,MSP,1,1,1,1,3,2,0,-7.0,27.0,0.0
G4,PIE,CKB,0,0,0,1,4,1,0,-44.0,-28.0,
WN,BUR,PDX,0,0,1,0,1,0,0,-3.0,-17.0,
OO,GTF,MSP,0,1,1,0,3,3,0,-19.0,26.0,
9E,ATL,XNA,0,1,1,0,5,2,0,-11.0,-10.0,
OH,TUL,DFW,0,1,1,1,1,1,1,94.0,186.0,94.0
YX,LGA,CLT,0,0,0,1,1,0,0,-8.0,-21.0,
F9,MEM,DEN,1,1,1,0,1,1,0,76.0,78.0,0.0
F9,FAR,DEN,1,1,1,0,1,1,0,25.0,40.0,0.0
WN,SAV,MDW,0,1,0,1,3,1,0,172.0,148.0,0.0
F9,PHL,BOS,1,0,1,0,2,1,1,84.0,63.0,78.0
AA,PHL,MSY,1,0,1,0,2,2,0,137.0,106.0,0.0
B6,SJU,TPA,0,1,1,0,1,1,0,14.0,9.0,
YX,BWI,JFK,0,1,0,1,3,1,0,-13.0,-1.0,0.0
YX,MEM,BOS,0,0,1,1,1,1,0,21.0,3.0,
YX,LGA,ACK,0,1,0,1,4,1,0,-34.0,3.0,0.0
YX,XNA,LGA,0,1,0,0,3,1,0,-6.0,-10.0,
WN,HOU,MCI,0,0,1,1,2,1,0,104.0,67.0,0.0
AA,BGR,DCA,0,1,0,0,6,2,0,49.0,20.0,0.0
B6,BUF,MCO,1,0,0,0,2,1,0,8.0,7.0,
G4,EYW,CVG,0,1,1,0,1,1,0,4.0,11.0,
NK,DTW,BOS,0,0,0,1,4,1,1,22.0,-22.0,20.0
AA,CLT,DCA,1,0,0,0,2,1,1,291.0,271.0,59.0
MQ,ORD,DSM,1,1,1,0,2,1,1,57.0,104.0,41.0
OO,GSP,IAH,0,0,1,0,1,0,0,-1.0,-3.0,
AA,DEN,PHL,0,1,0,1,2,2,0,88.0,60.0,0.0
G4,MYR,HGR,0,0,0,0,5,1,0,-41.0,-25.0,
NK,DFW,IAH,0,0,1,0,2,0,0,-14.0,-19.0,
OO,IAH,TUS,1,1,0,0,1,0,0,-3.0,-19.0,
NK,PNS,FLL,0,0,0,1,1,1,0,26.0,32.0,0.0
WN,BNA,SMF,0,0,1,0,1,1,0,14.0,13.0,
WN,ABQ,HOU,0,1,1,0,2,2,0,266.0,266.0,0.0
OO,MSP,DLH,0,0,1,1,7,1,0,-27.0,-64.0,0.0
AA,CLT,MSP,0,0,1,1,2,1,0,12.0,-6.0,0.0
OO,MCI,DEN,0,0,0,1,1,1,0,79.0,67.0,0.0
F9,SEA,DFW,0,0,1,0,1,1,0,7.0,22.0,0.0
AS,SEA,PHL,1,1,1,1,1,0,0,-10.0,-8.0,
WN,SMF,LGB,0,1,0,0,4,0,0,-2.0,-32.0,
UA,IAH,STT,0,0,1,1,1,0,0,-3.0,-7.0,
DL,DTW,AUS,0,1,0,1,2,2,0,24.0,57.0,0.0
DL,SEA,DEN,1,1,0,0,1,0,0,-18.0,-8.0,
G4,BIS,AZA,1,0,1,0,2,0,0,-19.0,-41.0,
UA,SFO,BNA,1,0,1,0,5,3,0,148.0,126.0,0.0
UA,DEN,CMH,1,0,1,1,1,0,0,2.0,-11.0,
YX,EWR,MHT,0,0,0,1,1,0,0,-8.0,-12.0,
OO,DTW,ORF,0,0,1,0,5,3,0,128.0,96.0,0.0
OH,BUF,DCA,0,0,1,1,3,1,0,-10.0,-26.0,
AA,PVD,PHL,1,1,1,1,2,0,0,-12.0,-16.0,
