Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
UA,SRQ,IAD,0,1,0,0,4,2,0,12.0,-19.0,
DL,ATL,HPN,0,1,0,0,10,3,0,-33.0,-33.0,0.0
UA,PHL,IAH,0,1,1,0,12,5,0,-13.0,308.0,0.0
OO,SBN,DFW,1,0,1,0,10,3,0,64.0,-57.0,0.0
AA,PIT,CLT,0,1,1,1,5,0,0,-20.0,-68.0,
9E,LGA,MKE,0,0,1,1,3,0,0,-6.0,-53.0,
MQ,ORD,GSO,1,0,0,0,3,1,0,215.0,188.0,0.0
B6,BOS,MKE,1,1,1,0,3,3,0,230.0,165.0,0.0
DL,DTW,AUS,0,0,0,1,6,3,0,-23.0,23.0,0.0
DL,ATL,MEM,0,1,1,1,11,5,1,145.0,144.0,44.0
G4,FWA,LAS,1,0,1,0,2,0,0,-13.0,-31.0,
OO,PHL,DTW,1,1,1,1,2,1,0,34.0,21.0,0.0
UA,SYR,DEN,1,1,1,0,2,0,0,-24.0,-70.0,
WN,SAT,LAX,0,1,0,0,4,2,0,63.0,63.0,0.0
WN,HOU,TUL,0,1,0,1,5,1,0,19.0,-22.0,0.0
DL,LGA,ORD,1,0,1,0,6,0,0,-15.0,-103.0,
OO,LAX,TUS,0,1,0,0,19,10,1,163.0,143.0,21.0
DL,SLC,DFW,0,1,1,1,2,1,0,-2.0,5.0,0.0
AA,ORD,SFO,1,1,1,0,5,3,0,80.0,112.0,0.0
9E,DTW,CVG,0,1,1,0,13,3,0,-46.0,-81.0,
DL,SLC,SAT,1,1,1,0,3,1,0,-10.0,5.0,0.0
WN,SEA,SMF,1,0,0,0,11,7,0,173.0,114.0,0.0
OO,ORD,SYR,0,0,0,0,3,1,0,0.0,9.0,0.0
DL,MSP,SMF,0,0,1,0,7,3,0,9.0,46.0,0.0
OO,MSP,XWA,1,1,1,0,4,1,0,5.0,-46.0,
WN,SRQ,HOU,0,1,0,1,5,3,0,-1.0,125.0,0.0
NK,DFW,BNA,0,0,0,0,12,4,0,37.0,-1.0,0.0
9E,ATL,HPN,0,1,1,0,3,0,0,-12.0,-26.0,
B6,BQN,MCO,0,0,1,0,18,10,1,811.0,701.0,24.0
WN,DAL,CHS,1,0,1,1,1,0,0,-1.0,-8.0,
B6,BOS,ATL,0,0,1,0,21,9,1,410.0,199.0,106.0
DL,LGA,DEN,0,1,0,0,12,4,0,1526.0,1533.0,0.0
DL,EWR,SLC,0,1,0,1,1,0,0,-8.0,-12.0,
OH,MYR,DCA,1,1,0,0,3,3,1,166.0,165.0,135.0
G4,MLI,PGD,0,0,0,0,6,3,0,269.0,275.0,0.0
NK,EWR,MCO,0,1,0,0,14,5,0,313.0,138.0,0.0
YX,LGA,JAX,0,1,1,1,1,0,0,-1.0,-4.0,
WN,RSW,BWI,0,1,1,0,4,3,0,132.0,187.0,0.0
NK,ORD,MYR,0,0,0,0,23,8,0,500.0,343.0,0.0
AA,BTV,PHL,0,0,0,0,88,19,0,644.0,288.0,0.0
WN,BNA,SAV,1,0,1,0,4,1,0,-6.0,1.0,0.0
MQ,ORD,ATW,0,0,1,0,2,0,0,-3.0,-21.0,
MQ,DFW,HSV,1,1,0,0,7,4,1,307.0,283.0,129.0
F9,DEN,BMI,0,1,0,0,2,0,0,-5.0,-29.0,
DL,DTW,MSP,0,1,1,1,2,1,0,-7.0,-19.0,
WN,HOU,MDW,1,1,1,0,6,3,0,71.0,35.0,0.0
9E,RAP,MSP,0,0,0,0,5,2,0,10.0,-8.0,0.0
