Year,Quarter,Month,DayOfWeek,Reporting_Airline,CancelledFlights,DivertedFlights,TotalFlights,DepartureDelayedFlights,ArrivalDelayedFlights,TotalDepDelay_gt_15M,TotalArrDelay_gt_15M,TotalDepDelay,TotalArrDelay,TotalDepDelayMinutes,TotalArrDelayMinutes,TotalCarrierDelay,TotalWeatherDelay,TotalNASDelay,TotalSecurityDelay,TotalLateAircraftDelay
2023,3,8,6,NK,22.0,10.0,482,917.0,831.0,64060.0,59390.0,60224.0,41799.0,67186.0,62197.0,19166.0,1372.0,17861.0,2265.0,18726.0
2024,4,10,7,OO,14.0,16.0,1152,1626.0,1683.0,114931.0,112836.0,80583.0,38899.0,120898.0,121235.0,62176.0,10379.0,15242.0,100.0,24939.0
2024,1,3,1,HA,5.0,0.0,71,70.0,86.0,3709.0,4066.0,2642.0,637.0,5007.0,5234.0,3441.0,70.0,21.0,2.0,532.0
2024,1,3,6,YX,38.0,14.0,447,289.0,313.0,24766.0,25137.0,8908.0,-21224.0,26058.0,26911.0,6788.0,3174.0,6891.0,104.0,8180.0
2024,2,5,3,AA,806.0,101.0,849,4658.0,4914.0,492133.0,509418.0,479119.0,446858.0,506217.0,523349.0,163480.0,41480.0,74877.0,841.0,228740.0
2024,2,6,1,DL,3.0,23.0,892,2256.0,2093.0,147534.0,137229.0,126069.0,38517.0,161087.0,149395.0,71239.0,3561.0,19034.0,127.0,43268.0
2020,1,1,5,OH,42.0,7.0,333,923.0,1047.0,61723.0,65090.0,50040.0,42812.0,65357.0,70383.0,17774.0,1705.0,9826.0,204.0,35581.0
2020,1,2,2,B6,0.0,4.0,311,351.0,344.0,20759.0,19656.0,2157.0,-25540.0,22815.0,21754.0,10046.0,104.0,4326.0,15.0,5165.0
2020,3,9,2,MQ,69.0,13.0,320,226.0,370.0,21786.0,28435.0,12122.0,14633.0,22950.0,30971.0,2877.0,7661.0,11700.0,83.0,6114.0
2021,4,11,6,AS,28.0,4.0,297,416.0,443.0,18962.0,19031.0,13774.0,4472.0,21849.0,22292.0,6826.0,355.0,5405.0,250.0,6195.0
2021,2,5,7,OO,40.0,46.0,1070,1259.0,1457.0,119942.0,125061.0,87551.0,36466.0,126379.0,133299.0,60913.0,24087.0,15659.0,267.0,24135.0
2021,2,6,3,DL,3.0,19.0,700,1177.0,1049.0,73357.0,67914.0,57522.0,-33614.0,84668.0,76737.0,36487.0,2965.0,16980.0,93.0,11389.0
2021,2,6,4,G4,23.0,4.0,496,735.0,826.0,43378.0,48438.0,40681.0,44886.0,46315.0,51898.0,11044.0,3466.0,8736.0,682.0,24510.0
2021,3,7,3,HA,2.0,0.0,70,96.0,90.0,4799.0,4484.0,3884.0,1927.0,5844.0,5685.0,3597.0,42.0,19.0,0.0,826.0
2021,3,9,3,G4,0.0,0.0,66,21.0,23.0,1427.0,1536.0,17.0,279.0,1592.0,1846.0,1160.0,58.0,122.0,18.0,178.0
2021,3,9,6,OH,13.0,4.0,343,185.0,203.0,12021.0,11431.0,-398.0,-13389.0,13282.0,13209.0,5539.0,1.0,1463.0,61.0,4367.0
2024,1,3,5,OH,6.0,5.0,285,580.0,613.0,41794.0,42478.0,31192.0,19630.0,44213.0,45460.0,12409.0,2281.0,5407.0,260.0,22121.0
2020,2,4,5,EV,160.0,0.0,169,18.0,18.0,1137.0,1112.0,-3088.0,-8159.0,1203.0,1251.0,344.0,413.0,320.0,0.0,35.0
2023,1,3,7,9E,0.0,4.0,286,315.0,381.0,20943.0,23393.0,15018.0,3812.0,22385.0,25293.0,8913.0,1340.0,5440.0,201.0,7499.0
2024,4,11,2,G4,0.0,0.0,456,107.0,115.0,10135.0,10385.0,6824.0,4230.0,10609.0,10796.0,3247.0,207.0,2478.0,0.0,4453.0
2020,1,2,5,DL,0.0,7.0,779,1605.0,1527.0,102464.0,97735.0,85383.0,-16062.0,114000.0,107251.0,33112.0,3978.0,24256.0,88.0,36301.0
2022,4,10,6,YV,14.0,2.0,230,213.0,193.0,20215.0,19343.0,16093.0,6079.0,21146.0,20490.0,8720.0,226.0,1860.0,7.0,8530.0
2022,1,3,2,9E,0.0,4.0,313,229.0,274.0,17909.0,18690.0,4629.0,-16791.0,19280.0,21304.0,8179.0,2056.0,3266.0,38.0,5151.0
2023,2,4,2,AA,17.0,11.0,803,1548.0,1580.0,119846.0,117398.0,93455.0,38514.0,128120.0,127961.0,48380.0,2056.0,14685.0,94.0,52183.0
2021,4,11,6,AA,127.0,15.0,732,1592.0,1359.0,99077.0,86977.0,81293.0,-6242.0,108541.0,94841.0,43951.0,565.0,9494.0,432.0,32535.0
2023,1,1,7,YX,5.0,5.0,437,381.0,560.0,22134.0,29829.0,5364.0,-13089.0,24165.0,33164.0,7615.0,2000.0,12186.0,0.0,8028.0
